Rank,Overall Acc,Model,Model Link,Organization,License,AST Summary,Exec Summary,Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Simple Exec,Multiple Exec,Parallel Exec,Parallel Multiple Exec,Irrelevance Detection,Relevance Detection,Cost ($ Per 1k Function Calls),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s)
59,47.95%,Claude-instant-1.2 (Prompt),https://www.anthropic.com/news/releasing-claude-instant-1-2,Anthropic,Proprietary,45.12%,45.62%,54.50%,55.81%,37.75%,32.42%,57.50%,72.00%,38.00%,15.00%,70.21%,46.34%,0.69,0.91,0.44,1.64
60,47.03%,Claude-3-Haiku-20240307 (FC tools-2024-04-04),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,38.76%,47.16%,72.74%,78.95%,1.00%,2.33%,90.64%,92.00%,6.00%,0.00%,29.08%,97.56%,0.36,1.1,0.31,1.63
61,45.61%,GPT-4-0613 (FC),https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,OpenAI,Proprietary,35.67%,39.80%,56.33%,86.36%,0.00%,0.00%,69.21%,90.00%,0.00%,0.00%,80.99%,73.17%,15.36,2.46,2.84,6.4
62,42.46%,Snowflake/snowflake-arctic-instruct (Prompt),https://huggingface.co/Snowflake/snowflake-arctic-instruct,Snowflake,apache-2.0,36.77%,40.32%,34.97%,31.79%,42.00%,38.33%,33.29%,28.00%,60.00%,40.00%,65.01%,51.22%,N/A,1.62,1.3,3.58
63,27.87%,mistral-large-2407 (Prompt),https://mistral.ai/news/mistral-large-2407/,Mistral AI,Proprietary,29.43%,15.43%,18.08%,43.11%,33.38%,23.17%,8.71%,30.00%,18.00%,5.00%,40.70%,58.54%,2.7,2.11,1.87,5.44
64,24.44%,Mistral-Small-2402 (Prompt),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Proprietary,18.24%,8.04%,7.83%,38.97%,17.25%,8.92%,8.14%,12.00%,12.00%,0.00%,83.22%,56.10%,0.91,1.98,1.56,5.47
65,21.17%,Mistral-tiny-2312 (Prompt),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Proprietary,15.07%,9.91%,21.11%,25.92%,9.75%,3.50%,19.64%,8.00%,12.00%,0.00%,92.23%,19.51%,0.21,1.96,1.71,5.49
66,11.18%,Deepseek-v1.5 (Prompt),https://huggingface.co/deepseek-ai/deepseek-coder-7b-instruct-v1.5,Deepseek,Deepseek License,1.98%,1.00%,4.07%,0.00%,1.00%,2.83%,0.00%,0.00%,4.00%,0.00%,99.89%,0.00%,3.24,0.53,N/A,N/A
67,10.30%,Gemma-7b-it (Prompt),https://blog.google/technology/developers/gemma-open-models/,Google,gemma-terms-of-use,1.10%,0.43%,2.40%,0.99%,0.50%,0.50%,1.71%,0.00%,0.00%,0.00%,96.95%,0.00%,0.37,0.06,N/A,N/A
68,10.00%,Hermes-2-Theta-Llama-3-70B (FC),https://huggingface.co/NousResearch/Hermes-2-Theta-Llama-3-70B,NousResearch,apache-2.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,2.57,0.42,N/A,N/A
